#The value for each line is the fraction of spaxels with S/N>=3 for that line WITHIN THE DILATED MASK
#flag values: 0=skipped (continuum S/N too low), 1=Normal Run (continuum binned to S/N=10), 
#  2=Low Thresh Run (continuum binned to S/N=4). Use N_MASK*fraction to get pixel number for a line
######################################################################################################
MAGPIID     z        flag   N_MASK    OII_3727     OII_3730     NeIII_3870   NeIII_3969   H5           He           Hd           Hg           OIII_4364    HeII_4687    ArIV_4713    ArIV_4741    Hb           OIII_5008    NI_5199      NI_5202      HeI_5877     OI_6302      Ha           NII_6585     SII_6718     SII_6733     
1201057188   0.8796    1      255           0.353000     0.365000    0.0430000    0.0240000    0.0670000    0.0200000    0.0510000     0.125000    0.0240000      0.00000      0.00000    0.0160000     0.165000   0.00400000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201061256   0.4027    1      144          0.0760000     0.188000      0.00000    0.0280000    0.0560000    0.0280000    0.0280000    0.0420000    0.0490000    0.0420000    0.0970000      0.00000     0.111000     0.215000      0.00000   0.00700000   0.00700000      0.00000     0.194000    0.0280000      0.00000      0.00000
1201101154   0.4137    1      338           0.222000     0.278000    0.0800000    0.0240000    0.0470000    0.0360000    0.0120000     0.109000      0.00000    0.0410000    0.0300000      0.00000     0.151000     0.299000   0.00300000      0.00000    0.0180000    0.0270000     0.225000   0.00900000      0.00000      0.00000
1201112189   0.8790    1      270           0.152000     0.107000    0.0260000    0.0220000    0.0370000    0.0260000    0.0150000    0.0190000      0.00000    0.0220000    0.0110000      0.00000    0.0700000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201118138   0.3469    2      820          0.0380000    0.0290000    0.0560000    0.0230000    0.0480000    0.0380000    0.0560000      0.00000      0.00000    0.0350000    0.0350000    0.0320000    0.0400000    0.0370000    0.0130000    0.0110000   0.00600000    0.0130000   0.00500000   0.00400000   0.00200000    0.0100000
1201123284   0.3487    1      126           0.357000     0.429000    0.0870000      0.00000    0.0870000    0.0320000    0.0790000      0.00000      0.00000    0.0320000    0.0160000    0.0320000     0.310000     0.460000      0.00000      0.00000   0.00800000    0.0480000     0.349000    0.0790000     0.214000     0.167000
1201124338   0.3477    1      836          0.0230000    0.0250000    0.0530000      0.00000    0.0440000    0.0300000    0.0420000      0.00000      0.00000    0.0380000    0.0320000    0.0330000    0.0240000      0.00000    0.0120000    0.0110000   0.00600000      0.00000   0.00500000    0.0160000   0.00800000    0.0110000
1201129319   0.3049    1       89           0.404000     0.416000     0.169000    0.0790000    0.0670000    0.0670000    0.0340000     0.169000    0.0110000    0.0220000      0.00000    0.0450000     0.416000     0.697000      0.00000    0.0110000     0.101000    0.0340000     0.618000    0.0340000      0.00000    0.0900000
1201141060   0.8705    1      130           0.185000     0.323000    0.0380000      0.00000    0.0230000      0.00000      0.00000    0.0380000      0.00000      0.00000      0.00000      0.00000    0.0230000    0.0310000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000
1201142200   1.4241   -1      -99           -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000     -99.0000
