"MAGPIID","segID","xmax","ymax","RAmax","Decmax","z.x","QOP","mag_it","mag_rt","R50_it","R90_it","axrat_it","ang_it","MAGPIID_v2.2.0","re","re_err","q","q_err","pa","pa_err","chi2_galfit_v2.2.0","fwhm_g","fwhm_r","fwhm_i","fwhm_z","QCFLAG","z.y","StellarMass_bestfit","StellarMass_median","StellarMass_16","StellarMass_84","SFRburst_bestfit","SFRburst_median","SFRburst_16","SFRburst_84","stelkinfracRe","stelkinfrac0p5Re","gaskinfracRe","gaskinfrac0p5Re","Lambda0p5Re","LambdaRe","VoS0p5Re","VoSRe","OII_3727","OII_3730","OIII_5008","Ha"
1201027109,113,27.5,109.5,174.720601,-1.933122,0.8719,1,24.774,27.602,0.242,0.281,0.588,175.59,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201029155,49,29.5,155.5,174.72049,-1.930566,0.7517,1,23.725,23.617,0.832,1.347,0.508,129.39,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201043115,24,43.5,115.5,174.719712,-1.932788,2e-04,6,25.592,24.075,0.381,0.72,0.961,7.4,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201047142,174,47.5,142.5,174.719489,-1.931288,1.2057,1,27.302,25.765,0.471,0.699,0.894,94.24,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201049325,250,49.5,325.5,174.719378,-1.921122,1.0963,1,23.498,22.941,1.338,2.016,0.864,122.02,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201052277,109,52.5,277.5,174.719211,-1.923788,2.9331,2,23.294,22.309,1.524,2.343,0.891,58.18,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201057188,70,57.5,188.5,174.718933,-1.928733,0.8796,3,24.056,23.21,0.828,1.475,0.638,65.27,1201057188,0.71,0.01,0.37,0.02,64.31,1.05,1.8,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,0.8796,3428746703.56357,2082888815.49453,1264373631.22697,3538751705.33171,1.13156079556304,1.26784827493423,0.889807186833471,2.12744378360278,0,0,0,0,NA,NA,NA,NA,0.353,0.365,0.004,0
1201060046,21,60.5,46.5,174.718767,-1.936622,0.4457,1,23.056,22.309,1.484,2.452,0.79,3.99,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201061256,172,61.5,256.5,174.718711,-1.924955,0.4027,3,23.428,22.671,1.554,2.659,0.845,138.58,1201061256,0.55,0.04,0.47,0.06,83.79,4.5,4.138,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,0.4027,873917981.537965,746083768.746906,248883046.499831,1325067306.54122,0.287125966466233,0.297119958364139,0.114659080859276,0.540054912026988,0,0,0,0,NA,NA,NA,NA,0.076,0.188,0.215,0.194
1201080317,61,80.5,317.5,174.717655,-1.921566,0.3426,1,24.068,23.948,0.563,1.011,0.915,114.08,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201087280,94,87.5,280.5,174.717266,-1.923622,0.8028,1,24.711,24.211,0.54,1.004,0.829,78.49,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201098351,123,98.5,351.5,174.716654,-1.919677,0.3632,1,25.829,NA,NA,NA,0.859,0.04,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201101154,11,101.5,154.5,174.716487,-1.930622,0.4137,4,23.112,22.724,0.622,1.264,0.751,22.95,1201101154,0.41,0.01,0.13,0.02,22.74,0.57,1.68,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,0.4137,637557677.965309,729161906.215952,542272428.58786,1111495280.19777,0.00200850609735832,0.295983145894165,0.224627713725516,0.490936861918542,0,0,0,0,NA,NA,NA,NA,0.222,0.278,0.299,0.225
1201102112,75,102.5,112.5,174.716432,-1.932955,1.2452,2,25.697,25.681,0.327,0.602,0.965,119.16,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201111283,83,111.5,283.5,174.715932,-1.923455,0.3422,2,24.912,24.389,0.518,0.881,0.797,107.8,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201112189,90,112.5,189.5,174.715876,-1.928677,0.879,3,25.183,24.072,0.79,1.396,0.912,154.57,1201112189,0.38,0.04,0.16,0.09,1.71,4.76,1.872,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,0.879,13705467964.2254,5203930716.12407,2407485987.80784,9761007936.46338,1.72644782746486,0.625367383259815,6.12199330379534e-10,3.31710503423308,0,0,0,0,NA,NA,NA,NA,0.152,0.107,0,0
1201115264,121,115.5,264.5,174.715709,-1.924511,0.8954,2,25.869,25.139,0.438,0.728,0.747,34.89,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1201118138,9,118.5,138.5,174.715543,-1.931511,0.3469,3,22.472,21.887,0.71,1.75,0.891,176.61,1201118138,0.47,0,0.64,0.01,-7.88,0.84,1.486,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,0.3469,4977332140.63678,4217565835.12927,2970791322.62969,5556110777.48356,6.13428888433001e-236,0.00191471312525845,4.65176598100466e-16,0.807609947668053,0.75,1,0.05,0,NA,NA,NA,NA,0.038,0.029,0.037,0.005
1201121310,59,121.5,310.5,174.715376,-1.921955,0.8744,1,24.228,23.961,0.634,1.027,0.773,156.07,NA,NA,NA,NA,NA,NA,NA,NA,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
